"decision","name","intervention"
1,"U102",0
0,"U29",0
0,"U126",0
0,"U22",0
0,"U18",0
0,"U91",0
1,"U107",0
1,"U1",0
0,"U6",0
0,"U63",0
0,"U130",0
0,"U113",0
0,"U42",0
0,"U97",0
1,"U33",0
0,"U73",0
0,"U109",0
0,"U19",0
1,"U134",0
0,"U37",0
0,"U71",0
0,"U3",0
0,"U76",0
1,"U62",0
0,"U79",0
0,"U86",0
0,"U26",0
1,"U69",0
0,"U59",0
0,"U67",0
0,"U41",0
0,"U99",0
0,"U118",0
0,"U139",0
0,"U21",0
0,"U110",0
0,"U13",0
0,"U47",0
1,"U106",0
0,"U32",0
0,"U72",0
0,"U123",0
1,"U23",0
0,"U53",0
0,"U10",0
1,"U68",0
0,"U17",0
0,"U141",0
0,"U138",0
0,"U4",0
0,"U112",0
0,"U140",0
1,"U14",0
0,"U49",0
1,"U48",0
0,"U65",0
0,"U142",0
0,"U90",0
1,"U124",0
0,"U54",0
0,"U92",0
1,"U102",1
0,"U29",1
0,"U126",1
0,"U22",1
0,"U18",1
0,"U91",1
1,"U107",1
1,"U1",1
0,"U6",1
0,"U63",1
0,"U130",1
0,"U113",1
0,"U42",1
0,"U97",1
1,"U33",1
0,"U73",1
0,"U109",1
0,"U19",1
1,"U134",1
0,"U37",1
0,"U71",1
0,"U3",1
0,"U76",1
1,"U62",1
0,"U79",1
0,"U86",1
0,"U26",1
1,"U69",1
0,"U59",1
0,"U67",1
0,"U41",1
0,"U99",1
0,"U118",1
0,"U139",1
0,"U21",1
0,"U110",1
0,"U13",1
0,"U47",1
1,"U106",1
0,"U32",1
0,"U72",1
0,"U123",1
1,"U23",1
0,"U53",1
0,"U10",1
1,"U68",1
0,"U17",1
0,"U141",1
0,"U138",1
0,"U4",1
0,"U112",1
0,"U140",1
1,"U14",1
0,"U49",1
1,"U48",1
0,"U65",1
0,"U142",1
0,"U90",1
1,"U124",1
0,"U54",1
0,"U92",1
1,"U102",2
0,"U29",2
0,"U126",2
0,"U22",2
0,"U18",2
0,"U91",2
1,"U107",2
1,"U1",2
0,"U6",2
0,"U63",2
0,"U130",2
0,"U113",2
0,"U42",2
0,"U97",2
1,"U33",2
0,"U73",2
0,"U109",2
0,"U19",2
1,"U134",2
0,"U37",2
0,"U71",2
0,"U3",2
0,"U76",2
1,"U62",2
0,"U79",2
0,"U86",2
0,"U26",2
1,"U69",2
0,"U59",2
0,"U67",2
0,"U41",2
0,"U99",2
0,"U118",2
0,"U139",2
0,"U21",2
0,"U110",2
0,"U13",2
0,"U47",2
1,"U106",2
0,"U32",2
0,"U72",2
0,"U123",2
1,"U23",2
0,"U53",2
0,"U10",2
1,"U68",2
0,"U17",2
0,"U141",2
0,"U138",2
0,"U4",2
0,"U112",2
0,"U140",2
1,"U14",2
0,"U49",2
1,"U48",2
0,"U65",2
0,"U142",2
0,"U90",2
1,"U124",2
0,"U54",2
0,"U92",2
1,"U102",3
0,"U29",3
0,"U126",3
0,"U22",3
0,"U18",3
0,"U91",3
1,"U107",3
1,"U1",3
0,"U6",3
0,"U63",3
0,"U130",3
0,"U113",3
0,"U42",3
0,"U97",3
1,"U33",3
0,"U73",3
0,"U109",3
0,"U19",3
1,"U134",3
0,"U37",3
0,"U71",3
0,"U3",3
0,"U76",3
1,"U62",3
0,"U79",3
0,"U86",3
0,"U26",3
1,"U69",3
0,"U59",3
0,"U67",3
0,"U41",3
0,"U99",3
0,"U118",3
0,"U139",3
0,"U21",3
0,"U110",3
0,"U13",3
0,"U47",3
1,"U106",3
0,"U32",3
0,"U72",3
0,"U123",3
1,"U23",3
0,"U53",3
0,"U10",3
1,"U68",3
0,"U17",3
0,"U141",3
0,"U138",3
0,"U4",3
0,"U112",3
0,"U140",3
1,"U14",3
0,"U49",3
1,"U48",3
0,"U65",3
0,"U142",3
0,"U90",3
1,"U124",3
0,"U54",3
0,"U92",3
